,title,week_on_chart,last_week,external_urls,num_of_artists,count_available_markets,disc_number,song_duration,popularity,track_num,total_track,release_date
0,DIE FOR YOU THE WEEKND FEAT. ARIANA GRANDE,38,1,{'spotify': 'https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB'},1,184,1,260.253,90,17,18,2016-11-24
1,BADAI TELAH BERLALU DISKORIA FEAT BCL,35,2,{'spotify': 'https://open.spotify.com/album/1p2jwOWf4I5rYGswXLKJR9'},3,184,1,295.542,71,1,1,2023-01-20
2,SEVEN JUNGKOOK FEAT. LATTO,17,3,{'spotify': 'https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX'},2,184,1,184.4,92,2,3,2023-07-14
3,SUPERSHY NEWJEANS,19,4,{'spotify': 'https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I'},1,184,1,154.666,90,2,2,2023-07-07
4,CINCIN HINDIA,14,5,{'spotify': 'https://open.spotify.com/album/2kgo1jbmAmaANgE8EaIrKX'},1,184,1,266.33,80,9,14,2023-07-07
5,3D JUNGKOOK FEAT. JACK HARLOW,6,7,{'spotify': 'https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU'},1,184,1,206.019,97,4,11,2023-11-03
6,RAYUAN PEREMPUAN GILA NADIN AMIZAH,7,8,{'spotify': 'https://open.spotify.com/album/7cCDE3ZZwmD94SKVKCLXAO'},1,184,1,320.0,79,1,1,2023-06-23
7,WHAT I WAS MADE FOR BILLIE EILISH,17,9,{'spotify': 'https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd'},1,183,1,222.369,93,1,1,2023-07-13
8,MY LOVE MINE ALL MINE MITSKI,8,10,{'spotify': 'https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA'},1,184,1,137.773,98,7,11,2023-09-15
9,ALWAYS DANIEL CAESAR,29,11,{'spotify': 'https://open.spotify.com/album/7ivbFszr1TbVadj89BIy1y'},1,183,1,225.312,84,6,15,2023-04-07
10,SNOOZE SZA FEAT. JUSTIN BIEBER,11,12,{'spotify': 'https://open.spotify.com/album/0bQ8NyqdTKKQpZHYhZqCUU'},2,184,1,190.464,78,1,1,2023-09-15
11,THOSE EYES NEW WEST,42,13,{'spotify': 'https://open.spotify.com/album/7rItmPh0tZpMKcFXBScaU8'},1,183,1,220.75,84,1,1,2019-05-10
12,IT GOES LIKE - NANANA PEGGY GOU,22,6,{'spotify': 'https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK'},1,184,1,231.545,89,1,1,2023-06-15
13,USED TO BE YOUNG MILEY CYRUS,13,15,{'spotify': 'https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ'},1,184,1,191.185,82,4,14,2023-08-18
14,HOUDINI DUA LIPA,4,16,{'spotify': 'https://open.spotify.com/album/5pTaRVLwZOFObIbRBubmeb'},1,180,1,185.917,93,1,1,2023-11-09
15,NISCAYA BILAL INDRAJAYA,11,14,{'spotify': 'https://open.spotify.com/album/3WDFtJW61DcXNnYzCjEjh6'},1,184,1,238.0,52,8,9,2023-06-28
16,STRANGERS KENYA GRACE,9,18,{'spotify': 'https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k'},1,183,1,172.964,96,1,1,2023-09-01
17,ONE OF YOUR GIRLS TROYE SIVAN,5,19,{'spotify': 'https://open.spotify.com/album/5UcGyEltve5psjxSRsHx8E'},1,146,1,181.481,87,3,10,2023-10-13
18,COOL WITH YOU NEW JEANS,15,20,{'spotify': 'https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18'},1,184,1,147.88,81,4,6,2023-07-21
19,SINGLE SOON SELENA GOMEZ,13,21,{'spotify': 'https://open.spotify.com/album/6EejduBuRYb7rzJaD2YCqO'},1,183,1,171.655,86,1,1,2023-08-25
20,RUSH TROYE SIVAN,17,22,{'spotify': 'https://open.spotify.com/album/5UcGyEltve5psjxSRsHx8E'},1,146,1,156.391,85,1,10,2023-10-13
21,PAINT THE TOWN RED DOJA CAT,11,23,{'spotify': 'https://open.spotify.com/album/54dZypaXHAIDzBe9ujAZ63'},1,183,1,231.75,94,1,1,2023-08-04
22,HERE WITH ME D4VD,51,24,{'spotify': 'https://open.spotify.com/album/3rrrTOHiXGzuW4FP7t0O1A'},1,183,1,242.484,90,2,9,2023-05-26
23,ONE OF THE GIRLS THE WEEKND FEAT. JENNIE,5,25,{'spotify': 'https://open.spotify.com/album/42Rl6aaMTG6EgYxzjP41qp'},1,184,1,188.893,71,1,1,2020-04-10
24,YOU'RE LOSING ME TAYLOR SWIFT,2,40,{'spotify': 'https://open.spotify.com/album/5q3jthpn2h59P7pe2gmAl7'},1,183,1,277.831,93,1,1,2023-11-29
25,LIMBO KESHI,31,17,{'spotify': 'https://open.spotify.com/album/1WVIJaAboRSwJOe4u0n0Q7'},1,182,1,212.784,80,10,12,2022-03-25
26,KILL BILL SZA,48,26,{'spotify': 'https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP'},1,183,1,153.946,92,2,23,2022-12-08
27,SLUT! (TAYLOR'S VERSION) TAYLOR SWIFT,1,,{'spotify': 'https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg'},1,183,1,180.381,90,17,21,2023-10-26
28,CUPID FIFTY FIFTY,31,27,{'spotify': 'https://open.spotify.com/album/5If2zLk3mlHXuhIS7rQF90'},1,183,1,174.253,85,1,11,2023-09-22
29,OUT OF TIME THE WEEKND,80,28,{'spotify': 'https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC'},1,184,1,214.193,81,7,16,2022-01-06
30,BARBIE WORLD NICKI MINAJ FEAT ICE SPICE,15,29,{'spotify': 'https://open.spotify.com/album/5CM66hwjlbZ06LhONWXOAs'},3,183,1,109.75,87,1,1,2023-06-23
31,LOVIN ON ME JACK HARLOW,1,,{'spotify': 'https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af'},1,183,1,138.411,97,1,1,2023-11-10
32,GET HIM BACK OLIVIA RODRIGO,1,,{'spotify': 'https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp'},1,183,1,211.141,87,8,12,2023-09-08
33,ANTI HERO TAYLOR SWIFT,56,30,{'spotify': 'https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3'},1,183,1,200.69,92,3,13,2022-10-21
34,CHEMICAL POST MALONE,15,31,{'spotify': 'https://open.spotify.com/album/7qcSUc5Af63mhfTF60KTEA'},1,182,1,184.013,87,1,1,2023-04-14
35,PEOPLE LIBIANCA,37,32,{'spotify': 'https://open.spotify.com/album/5Hmh6N8oisrcuZKa8EY5dn'},1,184,1,184.791,86,1,1,2022-12-06
36,MOONLIGHT KALI UCHIS,22,33,{'spotify': 'https://open.spotify.com/album/74aBi8IE2YGBM3BfmpX1R1'},2,183,1,156.436,78,1,1,2023-02-24
37,FLOWERS MILEY CYRUS,44,34,{'spotify': 'https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ'},1,184,1,200.6,93,1,14,2023-08-18
38,GOT ME STARTED TROYE SIVAN,8,35,{'spotify': 'https://open.spotify.com/album/5UcGyEltve5psjxSRsHx8E'},1,146,1,198.448,82,7,10,2023-10-13
39,OMG NEW JEANS,38,36,{'spotify': 'https://open.spotify.com/album/45ozep8uHHnj5CCittuyXj'},1,184,1,212.253,86,1,2,2023-01-02
